"编码ID{id,int}(id,number)","英雄ID{hero_id,int}(hero_id,number)","对应星级{level,int}(level,number)","道具消耗{cost_items,json_funcs}(cost_items,json)","HP{hp,int}(hp,number)","攻击{attack,int}(attack,number)","速度{speed,int}(speed,number)","防守{defense,int}(defense,number)","魔防{magic_defense,int}(magic_defense,number)","技巧{technique,int}(technique,number)","幸运{luck,int}(luck,number)","已装备武器技能{equiped_weapon_skill,int}(equiped_weapon_skill,number)","已装备辅助技能{equiped_support_skill,int}(equiped_support_skill,number)"
20300457,20143801,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,1,2,0,2,0,21401001
20300458,20143801,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,3,4,1,5,0,21401003
20300459,20143801,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,4,6,2,7,0,21401012
20300460,20143801,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,7,8,6,8,2,9,0,21401013
20300461,20112105,1,[],0,0,0,0,0,0,0,21110001,0
20300462,20112105,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,3,1,3,1,21110002,0
20300463,20112105,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,5,3,5,4,6,4,21110003,0
20300464,20112105,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",6,7,4,7,5,8,5,21110003,0
20300465,20112105,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",9,9,6,9,7,10,6,21110036,0
20300466,20131601,1,[],0,0,0,0,0,0,0,21160032,0
20300467,20131601,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,2,1,1,2,21160033,0
20300468,20131601,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,3,4,21160042,0
20300469,20131601,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,6,4,4,6,21160042,0
20300470,20131601,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,6,7,8,21160043,0
20300471,20121601,1,[],0,0,0,0,0,0,0,21160072,0
20300472,20121601,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,2,1,1,2,21160073,0
20300473,20121601,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,3,4,21160082,0
20300474,20121601,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,6,4,4,6,21160082,0
20300475,20121601,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,6,7,9,21160083,0
20300476,20143802,1,[],0,0,0,0,0,0,0,0,21401001
20300477,20143802,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,1,2,1,2,0,21401001
20300478,20143802,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,3,4,3,5,0,21401003
20300479,20143802,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,4,6,4,7,0,21401010
20300480,20143802,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,8,8,6,8,6,9,0,21401011
20300481,20114101,1,[],0,0,0,0,0,0,0,21110001,0
20300482,20114101,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,1,2,2,1,21110002,0
20300483,20114101,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,4,5,3,21110013,0
20300484,20114101,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,5,6,7,4,21110014,0
20300485,20114101,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",7,7,9,7,8,9,5,21110028,0
20300486,20121602,1,[],0,0,0,0,0,0,0,21160072,0
20300487,20121602,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,3,1,3,21160073,0
20300488,20121602,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,3,5,3,5,21160074,0
20300489,20121602,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,4,7,4,7,21160074,0
20300490,20121602,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",7,8,8,6,9,6,10,21160104,0
20300491,20131602,1,[],0,0,0,0,0,0,0,21160032,0
20300492,20131602,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,3,0,1,1,2,21160032,0
20300493,20131602,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",3,5,5,2,4,3,4,21160034,0
20300494,20131602,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",4,7,7,3,5,4,6,21160034,0
20300495,20131602,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",6,9,9,4,8,6,9,21160071,0
20300496,20114102,1,[],0,0,0,0,0,0,0,21110001,0
20300497,20114102,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,1,2,2,1,21110002,0
20300498,20114102,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,4,4,21110015,0
20300499,20114102,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,5,6,6,5,21110015,0
20300500,20114102,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,7,7,6,21110016,0
20300501,20131603,1,[],0,0,0,0,0,0,0,21160032,0
20300502,20131603,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,3,1,1,1,3,21160033,0
20300503,20131603,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,3,4,3,5,21160034,0
20300504,20131603,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,7,7,4,5,4,7,21160034,0
20300505,20131603,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,9,9,6,7,6,10,21160069,0
20300506,20121603,1,[],0,0,0,0,0,0,0,21160072,0
20300507,20121603,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,2,1,2,21160073,0
20300508,20121603,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",3,5,5,3,4,3,4,21160076,0
20300509,20121603,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",4,6,7,4,6,4,6,21160076,0
20300510,20121603,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",6,9,9,6,7,6,9,21160077,0
20300511,20114103,1,[],0,0,0,0,0,0,0,21110001,0
20300512,20114103,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,2,2,1,21110002,0
20300513,20114103,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,4,4,4,3,21110003,0
20300514,20114103,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,5,6,6,4,21110003,0
20300515,20114103,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",7,9,9,7,7,7,5,21110044,0
20300516,20121604,1,[],0,0,0,0,0,0,0,21160072,0
20300517,20121604,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,1,2,1,2,21160073,0
20300518,20121604,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,3,4,3,4,21160074,0
20300519,20121604,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,4,6,4,6,21160074,0
20300520,20121604,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,9,7,6,8,7,9,21160103,0
20300521,20131604,1,[],0,0,0,0,0,0,0,21160032,0
20300522,20131604,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,3,0,1,1,3,21160032,0
20300523,20131604,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,2,4,2,5,21160034,0
20300524,20131604,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,7,7,3,5,3,7,21160034,0
20300525,20131604,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",7,9,9,4,8,5,10,21160070,0
20300526,20111701,1,[],0,0,0,0,0,0,0,21170001,0
20300527,20111701,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,3,2,2,2,21170002,0
20300528,20111701,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,3,5,3,4,4,21170005,0
20300529,20111701,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,4,7,5,6,6,21170006,0
20300530,20111701,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,9,6,9,6,7,8,21170013,0
20300531,20131605,1,[],0,0,0,0,0,0,0,21160032,0
20300532,20131605,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,1,2,1,2,21160032,0
20300533,20131605,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,3,4,4,4,2,4,21160040,0
20300534,20131605,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,4,6,5,6,3,6,21160040,0
20300535,20131605,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,6,8,7,7,5,9,21160041,0
20300536,20131606,1,[],0,0,0,0,0,0,0,21160032,0
20300537,20131606,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,1,3,1,2,21160033,0
20300538,20131606,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",3,5,4,3,5,3,4,21160034,0
20300539,20131606,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",4,7,5,4,7,4,6,21160034,0
20300540,20131606,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",6,9,8,6,9,7,9,21160065,0
20300541,20111601,1,[],0,0,0,0,0,0,0,21160001,0
20300542,20111601,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,1,3,1,2,21160001,0
20300543,20111601,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",3,5,4,3,5,2,4,21160003,0
20300544,20111601,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",4,7,5,4,7,3,6,21160003,0
20300545,20111601,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",6,9,8,6,9,5,9,21160024,0
20300546,20111602,1,[],0,0,0,0,0,0,0,21160005,0
20300547,20111602,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,2,1,2,21160006,0
20300548,20111602,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,3,4,2,4,21160015,0
20300549,20111602,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,4,6,3,6,21160015,0
20300550,20111602,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",7,8,8,6,8,5,9,21160016,0
20300551,20131607,1,[],0,0,0,0,0,0,0,21160032,0
20300552,20131607,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,1,2,1,2,21160032,0
20300553,20131607,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,3,4,2,4,21160044,0
20300554,20131607,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,4,6,3,6,21160044,0
20300555,20131607,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",7,9,8,6,8,5,8,21160045,0
20300556,20131608,1,[],0,0,0,0,0,0,0,21160036,0
20300557,20131608,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,1,3,1,2,21160037,0
20300558,20131608,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,3,5,3,4,21160038,0
20300559,20131608,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,4,7,4,6,21160038,0
20300560,20131608,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",7,9,8,6,9,6,8,21160064,0
20300561,20111603,1,[],0,0,0,0,0,0,0,21160001,0
20300562,20111603,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,2,1,2,21160001,0
20300563,20111603,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,3,3,2,4,21160003,0
20300564,20111603,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,4,5,3,6,21160003,0
20300565,20111603,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,6,6,5,9,21160026,0
20300566,20111604,1,[],0,0,0,0,0,0,0,21160005,0
20300567,20111604,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,2,1,2,21160006,0
20300568,20111604,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,3,4,4,2,4,21160007,0
20300569,20111604,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,4,5,6,3,6,21160007,0
20300570,20111604,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,6,8,8,5,9,21160008,0
20300571,20111605,1,[],0,0,0,0,0,0,0,21160005,0
20300572,20111605,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,1,1,2,21160005,0
20300573,20111605,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,3,3,3,4,21160009,0
20300574,20111605,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,4,4,4,6,21160009,0
20300575,20111605,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,6,6,7,8,21160010,0
20300576,20111606,1,[],0,0,0,0,0,0,0,21160001,0
20300577,20111606,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,0,2,1,2,21160001,0
20300578,20111606,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",3,5,5,2,4,3,4,21160015,0
20300579,20111606,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",4,6,7,3,6,4,6,21160015,0
20300580,20111606,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",6,9,9,4,8,6,9,21160016,0
20300581,20111607,1,[],0,0,0,0,0,0,0,21160005,0
20300582,20111607,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,2,1,2,21160005,0
20300583,20111607,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,3,4,3,4,21160011,0
20300584,20111607,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,4,6,4,6,21160011,0
20300585,20111607,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",7,8,8,6,8,7,9,21160012,0
20300586,20111608,1,[],0,0,0,0,0,0,0,21160001,0
20300587,20111608,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,1,2,1,2,21160001,0
20300588,20111608,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,3,4,3,4,21160003,0
20300589,20111608,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,4,6,4,6,21160004,0
20300590,20111608,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",7,9,7,6,8,6,8,21160031,0
20300591,20111609,1,[],0,0,0,0,0,0,0,21160005,0
20300592,20111609,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,1,1,2,2,1,3,21160005,0
20300593,20111609,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,3,3,4,4,3,5,21160013,0
20300594,20111609,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",6,4,4,6,6,4,7,21160013,0
20300595,20111609,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",9,6,6,8,7,7,10,21160014,0
20300596,20113601,1,[],0,0,0,0,0,0,0,21160005,0
20300597,20113601,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,1,2,1,2,21160005,0
20300598,20113601,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,3,4,4,3,4,21160007,0
20300599,20113601,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,4,5,6,4,6,21160007,0
20300600,20113601,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,6,7,8,6,9,21160029,0
