"±àÂëID{id,int}(id,number)","Ó¢ÐÛ±àÂë{hero_id,int}(hero_id,number)","Í»ÆÆ´ÎÊý{level,int}(level,number)","Í»ÆÆÏûºÄ{stage_costs,json_funcs}(stage_costs,json)","ÑªÁ¿{hp,int}(hp,number)","¹¥»÷{attack,int}(attack,number)","·ÀÓù{defense,int}(defense,number)","Ä§·À{magic_defense,int}(magic_defense,number)","ËÙ¶È{speed,int}(speed,number)","¼¼ÇÉ{technique,int}(technique,number)","ÐÒÔË{luck,int}(luck,number)"
20400618,20133302,8,"[{type:3,param:20133302,value:-1}]",10,8,6,6,6,8,4
20400619,20133302,9,"[{type:3,param:20133302,value:-1}]",10,8,8,6,6,8,6
20400620,20133302,10,"[{type:3,param:20133302,value:-1}]",12,8,8,8,8,8,8
20400621,20121203,1,"[{type:3,param:20121203,value:-1}]",2,2,0,0,0,2,0
20400622,20121203,2,"[{type:3,param:20121203,value:-1}]",4,2,2,0,2,2,0
20400623,20121203,3,"[{type:3,param:20121203,value:-1}]",4,4,2,2,2,4,0
20400624,20121203,4,"[{type:3,param:20121203,value:-1}]",4,4,4,2,4,4,2
20400625,20121203,5,"[{type:3,param:20121203,value:-1}]",6,4,4,4,4,4,4
20400626,20121203,6,"[{type:3,param:20121203,value:-1}]",8,6,4,4,4,6,4
20400627,20121203,7,"[{type:3,param:20121203,value:-1}]",10,6,6,4,6,6,4
20400628,20121203,8,"[{type:3,param:20121203,value:-1}]",10,8,6,6,6,8,4
20400629,20121203,9,"[{type:3,param:20121203,value:-1}]",10,8,8,6,6,8,6
20400630,20121203,10,"[{type:3,param:20121203,value:-1}]",12,8,8,8,8,8,8
20400631,20141506,1,"[{type:3,param:20141506,value:-1}]",2,2,0,0,0,2,0
20400632,20141506,2,"[{type:3,param:20141506,value:-1}]",4,2,2,0,2,2,0
20400633,20141506,3,"[{type:3,param:20141506,value:-1}]",4,4,2,2,2,4,0
20400634,20141506,4,"[{type:3,param:20141506,value:-1}]",4,4,4,2,4,4,2
20400635,20141506,5,"[{type:3,param:20141506,value:-1}]",6,4,4,4,4,4,4
20400636,20141506,6,"[{type:3,param:20141506,value:-1}]",8,6,4,4,4,6,4
20400637,20141506,7,"[{type:3,param:20141506,value:-1}]",10,6,6,4,6,6,4
20400638,20141506,8,"[{type:3,param:20141506,value:-1}]",10,8,6,6,6,8,4
20400639,20141506,9,"[{type:3,param:20141506,value:-1}]",10,8,8,6,6,8,6
20400640,20141506,10,"[{type:3,param:20141506,value:-1}]",12,8,8,8,8,8,8
20400641,20121204,1,"[{type:3,param:20121204,value:-1}]",2,2,0,0,0,2,0
20400642,20121204,2,"[{type:3,param:20121204,value:-1}]",4,2,2,0,2,2,0
20400643,20121204,3,"[{type:3,param:20121204,value:-1}]",4,4,2,2,2,4,0
20400644,20121204,4,"[{type:3,param:20121204,value:-1}]",4,4,4,2,4,4,2
20400645,20121204,5,"[{type:3,param:20121204,value:-1}]",6,4,4,4,4,4,4
20400646,20121204,6,"[{type:3,param:20121204,value:-1}]",8,6,4,4,4,6,4
20400647,20121204,7,"[{type:3,param:20121204,value:-1}]",10,6,6,4,6,6,4
20400648,20121204,8,"[{type:3,param:20121204,value:-1}]",10,8,6,6,6,8,4
20400649,20121204,9,"[{type:3,param:20121204,value:-1}]",10,8,8,6,6,8,6
20400650,20121204,10,"[{type:3,param:20121204,value:-1}]",12,8,8,8,8,8,8
20400651,20133303,1,"[{type:3,param:20133303,value:-1}]",2,2,0,0,0,2,0
20400652,20133303,2,"[{type:3,param:20133303,value:-1}]",4,2,2,0,2,2,0
20400653,20133303,3,"[{type:3,param:20133303,value:-1}]",4,4,2,2,2,4,0
20400654,20133303,4,"[{type:3,param:20133303,value:-1}]",4,4,4,2,4,4,2
20400655,20133303,5,"[{type:3,param:20133303,value:-1}]",6,4,4,4,4,4,4
20400656,20133303,6,"[{type:3,param:20133303,value:-1}]",8,6,4,4,4,6,4
20400657,20133303,7,"[{type:3,param:20133303,value:-1}]",10,6,6,4,6,6,4
20400658,20133303,8,"[{type:3,param:20133303,value:-1}]",10,8,6,6,6,8,4
20400659,20133303,9,"[{type:3,param:20133303,value:-1}]",10,8,8,6,6,8,6
20400660,20133303,10,"[{type:3,param:20133303,value:-1}]",12,8,8,8,8,8,8
20400661,20113104,1,"[{type:3,param:20113104,value:-1}]",2,2,0,0,0,2,0
20400662,20113104,2,"[{type:3,param:20113104,value:-1}]",4,2,2,0,2,2,0
20400663,20113104,3,"[{type:3,param:20113104,value:-1}]",4,4,2,2,2,4,0
20400664,20113104,4,"[{type:3,param:20113104,value:-1}]",4,4,4,2,4,4,2
20400665,20113104,5,"[{type:3,param:20113104,value:-1}]",6,4,4,4,4,4,4
20400666,20113104,6,"[{type:3,param:20113104,value:-1}]",8,6,4,4,4,6,4
20400667,20113104,7,"[{type:3,param:20113104,value:-1}]",10,6,6,4,6,6,4
20400668,20113104,8,"[{type:3,param:20113104,value:-1}]",10,8,6,6,6,8,4
20400669,20113104,9,"[{type:3,param:20113104,value:-1}]",10,8,8,6,6,8,6
20400670,20113104,10,"[{type:3,param:20113104,value:-1}]",12,8,8,8,8,8,8
20400671,20141507,1,"[{type:3,param:20141507,value:-1}]",2,2,0,0,0,2,0
20400672,20141507,2,"[{type:3,param:20141507,value:-1}]",4,2,2,0,2,2,0
20400673,20141507,3,"[{type:3,param:20141507,value:-1}]",4,4,2,2,2,4,0
20400674,20141507,4,"[{type:3,param:20141507,value:-1}]",4,4,4,2,4,4,2
20400675,20141507,5,"[{type:3,param:20141507,value:-1}]",6,4,4,4,4,4,4
20400676,20141507,6,"[{type:3,param:20141507,value:-1}]",8,6,4,4,4,6,4
20400677,20141507,7,"[{type:3,param:20141507,value:-1}]",10,6,6,4,6,6,4
20400678,20141507,8,"[{type:3,param:20141507,value:-1}]",10,8,6,6,6,8,4
20400679,20141507,9,"[{type:3,param:20141507,value:-1}]",10,8,8,6,6,8,6
20400680,20141507,10,"[{type:3,param:20141507,value:-1}]",12,8,8,8,8,8,8
20400681,20121205,1,"[{type:3,param:20121205,value:-1}]",2,2,0,0,0,2,0
20400682,20121205,2,"[{type:3,param:20121205,value:-1}]",4,2,2,0,2,2,0
20400683,20121205,3,"[{type:3,param:20121205,value:-1}]",4,4,2,2,2,4,0
20400684,20121205,4,"[{type:3,param:20121205,value:-1}]",4,4,4,2,4,4,2
20400685,20121205,5,"[{type:3,param:20121205,value:-1}]",6,4,4,4,4,4,4
20400686,20121205,6,"[{type:3,param:20121205,value:-1}]",8,6,4,4,4,6,4
20400687,20121205,7,"[{type:3,param:20121205,value:-1}]",10,6,6,4,6,6,4
20400688,20121205,8,"[{type:3,param:20121205,value:-1}]",10,8,6,6,6,8,4
20400689,20121205,9,"[{type:3,param:20121205,value:-1}]",10,8,8,6,6,8,6
20400690,20121205,10,"[{type:3,param:20121205,value:-1}]",12,8,8,8,8,8,8
20400691,20113105,1,"[{type:3,param:20113105,value:-1}]",2,2,0,0,0,2,0
20400692,20113105,2,"[{type:3,param:20113105,value:-1}]",4,2,2,0,2,2,0
20400693,20113105,3,"[{type:3,param:20113105,value:-1}]",4,4,2,2,2,4,0
20400694,20113105,4,"[{type:3,param:20113105,value:-1}]",4,4,4,2,4,4,2
20400695,20113105,5,"[{type:3,param:20113105,value:-1}]",6,4,4,4,4,4,4
20400696,20113105,6,"[{type:3,param:20113105,value:-1}]",8,6,4,4,4,6,4
20400697,20113105,7,"[{type:3,param:20113105,value:-1}]",10,6,6,4,6,6,4
20400698,20113105,8,"[{type:3,param:20113105,value:-1}]",10,8,6,6,6,8,4
20400699,20113105,9,"[{type:3,param:20113105,value:-1}]",10,8,8,6,6,8,6
20400700,20113105,10,"[{type:3,param:20113105,value:-1}]",12,8,8,8,8,8,8
20400701,20133304,1,"[{type:3,param:20133304,value:-1}]",2,2,0,0,0,2,0
20400702,20133304,2,"[{type:3,param:20133304,value:-1}]",4,2,2,0,2,2,0
20400703,20133304,3,"[{type:3,param:20133304,value:-1}]",4,4,2,2,2,4,0
20400704,20133304,4,"[{type:3,param:20133304,value:-1}]",4,4,4,2,4,4,2
20400705,20133304,5,"[{type:3,param:20133304,value:-1}]",6,4,4,4,4,4,4
20400706,20133304,6,"[{type:3,param:20133304,value:-1}]",8,6,4,4,4,6,4
20400707,20133304,7,"[{type:3,param:20133304,value:-1}]",10,6,6,4,6,6,4
20400708,20133304,8,"[{type:3,param:20133304,value:-1}]",10,8,6,6,6,8,4
20400709,20133304,9,"[{type:3,param:20133304,value:-1}]",10,8,8,6,6,8,6
20400710,20133304,10,"[{type:3,param:20133304,value:-1}]",12,8,8,8,8,8,8
20400711,20141801,1,"[{type:3,param:20141801,value:-1}]",2,2,0,0,0,2,0
20400712,20141801,2,"[{type:3,param:20141801,value:-1}]",4,2,2,0,2,2,0
20400713,20141801,3,"[{type:3,param:20141801,value:-1}]",4,4,2,2,2,4,0
20400714,20141801,4,"[{type:3,param:20141801,value:-1}]",4,4,4,2,4,4,2
20400715,20141801,5,"[{type:3,param:20141801,value:-1}]",6,4,4,4,4,4,4
20400716,20141801,6,"[{type:3,param:20141801,value:-1}]",8,6,4,4,4,6,4
20400717,20141801,7,"[{type:3,param:20141801,value:-1}]",10,6,6,4,6,6,4
20400718,20141801,8,"[{type:3,param:20141801,value:-1}]",10,8,6,6,6,8,4
20400719,20141801,9,"[{type:3,param:20141801,value:-1}]",10,8,8,6,6,8,6
20400720,20141801,10,"[{type:3,param:20141801,value:-1}]",12,8,8,8,8,8,8
20400721,20131701,1,"[{type:3,param:20131701,value:-1}]",2,2,0,0,0,2,0
20400722,20131701,2,"[{type:3,param:20131701,value:-1}]",4,2,2,0,2,2,0
20400723,20131701,3,"[{type:3,param:20131701,value:-1}]",4,4,2,2,2,4,0
20400724,20131701,4,"[{type:3,param:20131701,value:-1}]",4,4,4,2,4,4,2
20400725,20131701,5,"[{type:3,param:20131701,value:-1}]",6,4,4,4,4,4,4
20400726,20131701,6,"[{type:3,param:20131701,value:-1}]",8,6,4,4,4,6,4
20400727,20131701,7,"[{type:3,param:20131701,value:-1}]",10,6,6,4,6,6,4
20400728,20131701,8,"[{type:3,param:20131701,value:-1}]",10,8,6,6,6,8,4
20400729,20131701,9,"[{type:3,param:20131701,value:-1}]",10,8,8,6,6,8,6
20400730,20131701,10,"[{type:3,param:20131701,value:-1}]",12,8,8,8,8,8,8
20400731,20121206,1,"[{type:3,param:20121206,value:-1}]",2,2,0,0,0,2,0
20400732,20121206,2,"[{type:3,param:20121206,value:-1}]",4,2,2,0,2,2,0
20400733,20121206,3,"[{type:3,param:20121206,value:-1}]",4,4,2,2,2,4,0
20400734,20121206,4,"[{type:3,param:20121206,value:-1}]",4,4,4,2,4,4,2
20400735,20121206,5,"[{type:3,param:20121206,value:-1}]",6,4,4,4,4,4,4
20400736,20121206,6,"[{type:3,param:20121206,value:-1}]",8,6,4,4,4,6,4
20400737,20121206,7,"[{type:3,param:20121206,value:-1}]",10,6,6,4,6,6,4
20400738,20121206,8,"[{type:3,param:20121206,value:-1}]",10,8,6,6,6,8,4
20400739,20121206,9,"[{type:3,param:20121206,value:-1}]",10,8,8,6,6,8,6
20400740,20121206,10,"[{type:3,param:20121206,value:-1}]",12,8,8,8,8,8,8
20400741,20113106,1,"[{type:3,param:20113106,value:-1}]",2,2,0,0,0,2,0
20400742,20113106,2,"[{type:3,param:20113106,value:-1}]",4,2,2,0,2,2,0
20400743,20113106,3,"[{type:3,param:20113106,value:-1}]",4,4,2,2,2,4,0
20400744,20113106,4,"[{type:3,param:20113106,value:-1}]",4,4,4,2,4,4,2
20400745,20113106,5,"[{type:3,param:20113106,value:-1}]",6,4,4,4,4,4,4
20400746,20113106,6,"[{type:3,param:20113106,value:-1}]",8,6,4,4,4,6,4
20400747,20113106,7,"[{type:3,param:20113106,value:-1}]",10,6,6,4,6,6,4
20400748,20113106,8,"[{type:3,param:20113106,value:-1}]",10,8,6,6,6,8,4
20400749,20113106,9,"[{type:3,param:20113106,value:-1}]",10,8,8,6,6,8,6
20400750,20113106,10,"[{type:3,param:20113106,value:-1}]",12,8,8,8,8,8,8
20400751,20141802,1,"[{type:3,param:20141802,value:-1}]",2,2,0,0,0,2,0
20400752,20141802,2,"[{type:3,param:20141802,value:-1}]",4,2,2,0,2,2,0
20400753,20141802,3,"[{type:3,param:20141802,value:-1}]",4,4,2,2,2,4,0
20400754,20141802,4,"[{type:3,param:20141802,value:-1}]",4,4,4,2,4,4,2
20400755,20141802,5,"[{type:3,param:20141802,value:-1}]",6,4,4,4,4,4,4
20400756,20141802,6,"[{type:3,param:20141802,value:-1}]",8,6,4,4,4,6,4
20400757,20141802,7,"[{type:3,param:20141802,value:-1}]",10,6,6,4,6,6,4
20400758,20141802,8,"[{type:3,param:20141802,value:-1}]",10,8,6,6,6,8,4
20400759,20141802,9,"[{type:3,param:20141802,value:-1}]",10,8,8,6,6,8,6
20400760,20141802,10,"[{type:3,param:20141802,value:-1}]",12,8,8,8,8,8,8
20400761,20112101,1,"[{type:3,param:20112101,value:-1}]",2,2,0,0,0,2,0
20400762,20112101,2,"[{type:3,param:20112101,value:-1}]",4,2,2,0,2,2,0
20400763,20112101,3,"[{type:3,param:20112101,value:-1}]",4,4,2,2,2,4,0
20400764,20112101,4,"[{type:3,param:20112101,value:-1}]",4,4,4,2,4,4,2
20400765,20112101,5,"[{type:3,param:20112101,value:-1}]",6,4,4,4,4,4,4
20400766,20112101,6,"[{type:3,param:20112101,value:-1}]",8,6,4,4,4,6,4
20400767,20112101,7,"[{type:3,param:20112101,value:-1}]",10,6,6,4,6,6,4
20400768,20112101,8,"[{type:3,param:20112101,value:-1}]",10,8,6,6,6,8,4
20400769,20112101,9,"[{type:3,param:20112101,value:-1}]",10,8,8,6,6,8,6
20400770,20112101,10,"[{type:3,param:20112101,value:-1}]",12,8,8,8,8,8,8
20400771,20121701,1,"[{type:3,param:20121701,value:-1}]",2,2,0,0,0,2,0
20400772,20121701,2,"[{type:3,param:20121701,value:-1}]",4,2,2,0,2,2,0
20400773,20121701,3,"[{type:3,param:20121701,value:-1}]",4,4,2,2,2,4,0
20400774,20121701,4,"[{type:3,param:20121701,value:-1}]",4,4,4,2,4,4,2
20400775,20121701,5,"[{type:3,param:20121701,value:-1}]",6,4,4,4,4,4,4
20400776,20121701,6,"[{type:3,param:20121701,value:-1}]",8,6,4,4,4,6,4
20400777,20121701,7,"[{type:3,param:20121701,value:-1}]",10,6,6,4,6,6,4
20400778,20121701,8,"[{type:3,param:20121701,value:-1}]",10,8,6,6,6,8,4
20400779,20121701,9,"[{type:3,param:20121701,value:-1}]",10,8,8,6,6,8,6
20400780,20121701,10,"[{type:3,param:20121701,value:-1}]",12,8,8,8,8,8,8
20400781,20131702,1,"[{type:3,param:20131702,value:-1}]",2,2,0,0,0,2,0
20400782,20131702,2,"[{type:3,param:20131702,value:-1}]",4,2,2,0,2,2,0
20400783,20131702,3,"[{type:3,param:20131702,value:-1}]",4,4,2,2,2,4,0
20400784,20131702,4,"[{type:3,param:20131702,value:-1}]",4,4,4,2,4,4,2
20400785,20131702,5,"[{type:3,param:20131702,value:-1}]",6,4,4,4,4,4,4
20400786,20131702,6,"[{type:3,param:20131702,value:-1}]",8,6,4,4,4,6,4
20400787,20131702,7,"[{type:3,param:20131702,value:-1}]",10,6,6,4,6,6,4
20400788,20131702,8,"[{type:3,param:20131702,value:-1}]",10,8,6,6,6,8,4
20400789,20131702,9,"[{type:3,param:20131702,value:-1}]",10,8,8,6,6,8,6
20400790,20131702,10,"[{type:3,param:20131702,value:-1}]",12,8,8,8,8,8,8
20400791,20141803,1,"[{type:3,param:20141803,value:-1}]",2,2,0,0,0,2,0
20400792,20141803,2,"[{type:3,param:20141803,value:-1}]",4,2,2,0,2,2,0
20400793,20141803,3,"[{type:3,param:20141803,value:-1}]",4,4,2,2,2,4,0
20400794,20141803,4,"[{type:3,param:20141803,value:-1}]",4,4,4,2,4,4,2
20400795,20141803,5,"[{type:3,param:20141803,value:-1}]",6,4,4,4,4,4,4
20400796,20141803,6,"[{type:3,param:20141803,value:-1}]",8,6,4,4,4,6,4
20400797,20141803,7,"[{type:3,param:20141803,value:-1}]",10,6,6,4,6,6,4
20400798,20141803,8,"[{type:3,param:20141803,value:-1}]",10,8,6,6,6,8,4
20400799,20141803,9,"[{type:3,param:20141803,value:-1}]",10,8,8,6,6,8,6
20400800,20141803,10,"[{type:3,param:20141803,value:-1}]",12,8,8,8,8,8,8
20400801,20112102,1,"[{type:3,param:20112102,value:-1}]",2,2,0,0,0,2,0
20400802,20112102,2,"[{type:3,param:20112102,value:-1}]",4,2,2,0,2,2,0
20400803,20112102,3,"[{type:3,param:20112102,value:-1}]",4,4,2,2,2,4,0
20400804,20112102,4,"[{type:3,param:20112102,value:-1}]",4,4,4,2,4,4,2
20400805,20112102,5,"[{type:3,param:20112102,value:-1}]",6,4,4,4,4,4,4
20400806,20112102,6,"[{type:3,param:20112102,value:-1}]",8,6,4,4,4,6,4
20400807,20112102,7,"[{type:3,param:20112102,value:-1}]",10,6,6,4,6,6,4
20400808,20112102,8,"[{type:3,param:20112102,value:-1}]",10,8,6,6,6,8,4
20400809,20112102,9,"[{type:3,param:20112102,value:-1}]",10,8,8,6,6,8,6
20400810,20112102,10,"[{type:3,param:20112102,value:-1}]",12,8,8,8,8,8,8
20400811,20124701,1,"[{type:3,param:20124701,value:-1}]",2,2,0,0,0,2,0
20400812,20124701,2,"[{type:3,param:20124701,value:-1}]",4,2,2,0,2,2,0
20400813,20124701,3,"[{type:3,param:20124701,value:-1}]",4,4,2,2,2,4,0
20400814,20124701,4,"[{type:3,param:20124701,value:-1}]",4,4,4,2,4,4,2
20400815,20124701,5,"[{type:3,param:20124701,value:-1}]",6,4,4,4,4,4,4
20400816,20124701,6,"[{type:3,param:20124701,value:-1}]",8,6,4,4,4,6,4
20400817,20124701,7,"[{type:3,param:20124701,value:-1}]",10,6,6,4,6,6,4
20400818,20124701,8,"[{type:3,param:20124701,value:-1}]",10,8,6,6,6,8,4
20400819,20124701,9,"[{type:3,param:20124701,value:-1}]",10,8,8,6,6,8,6
20400820,20124701,10,"[{type:3,param:20124701,value:-1}]",12,8,8,8,8,8,8
20400821,20141804,1,"[{type:3,param:20141804,value:-1}]",2,2,0,0,0,2,0
20400822,20141804,2,"[{type:3,param:20141804,value:-1}]",4,2,2,0,2,2,0
20400823,20141804,3,"[{type:3,param:20141804,value:-1}]",4,4,2,2,2,4,0
20400824,20141804,4,"[{type:3,param:20141804,value:-1}]",4,4,4,2,4,4,2
20400825,20141804,5,"[{type:3,param:20141804,value:-1}]",6,4,4,4,4,4,4
20400826,20141804,6,"[{type:3,param:20141804,value:-1}]",8,6,4,4,4,6,4
20400827,20141804,7,"[{type:3,param:20141804,value:-1}]",10,6,6,4,6,6,4
20400828,20141804,8,"[{type:3,param:20141804,value:-1}]",10,8,6,6,6,8,4
20400829,20141804,9,"[{type:3,param:20141804,value:-1}]",10,8,8,6,6,8,6
20400830,20141804,10,"[{type:3,param:20141804,value:-1}]",12,8,8,8,8,8,8
20400831,20133601,1,"[{type:3,param:20133601,value:-1}]",2,2,0,0,0,2,0
20400832,20133601,2,"[{type:3,param:20133601,value:-1}]",4,2,2,0,2,2,0
20400833,20133601,3,"[{type:3,param:20133601,value:-1}]",4,4,2,2,2,4,0
20400834,20133601,4,"[{type:3,param:20133601,value:-1}]",4,4,4,2,4,4,2
20400835,20133601,5,"[{type:3,param:20133601,value:-1}]",6,4,4,4,4,4,4
20400836,20133601,6,"[{type:3,param:20133601,value:-1}]",8,6,4,4,4,6,4
20400837,20133601,7,"[{type:3,param:20133601,value:-1}]",10,6,6,4,6,6,4
20400838,20133601,8,"[{type:3,param:20133601,value:-1}]",10,8,6,6,6,8,4
20400839,20133601,9,"[{type:3,param:20133601,value:-1}]",10,8,8,6,6,8,6
20400840,20133601,10,"[{type:3,param:20133601,value:-1}]",12,8,8,8,8,8,8
20400841,20112103,1,"[{type:3,param:20112103,value:-1}]",2,2,0,0,0,2,0
20400842,20112103,2,"[{type:3,param:20112103,value:-1}]",4,2,2,0,2,2,0
20400843,20112103,3,"[{type:3,param:20112103,value:-1}]",4,4,2,2,2,4,0
20400844,20112103,4,"[{type:3,param:20112103,value:-1}]",4,4,4,2,4,4,2
20400845,20112103,5,"[{type:3,param:20112103,value:-1}]",6,4,4,4,4,4,4
20400846,20112103,6,"[{type:3,param:20112103,value:-1}]",8,6,4,4,4,6,4
20400847,20112103,7,"[{type:3,param:20112103,value:-1}]",10,6,6,4,6,6,4
20400848,20112103,8,"[{type:3,param:20112103,value:-1}]",10,8,6,6,6,8,4
20400849,20112103,9,"[{type:3,param:20112103,value:-1}]",10,8,8,6,6,8,6
20400850,20112103,10,"[{type:3,param:20112103,value:-1}]",12,8,8,8,8,8,8
20400851,20141805,1,"[{type:3,param:20141805,value:-1}]",2,2,0,0,0,2,0
20400852,20141805,2,"[{type:3,param:20141805,value:-1}]",4,2,2,0,2,2,0
20400853,20141805,3,"[{type:3,param:20141805,value:-1}]",4,4,2,2,2,4,0
20400854,20141805,4,"[{type:3,param:20141805,value:-1}]",4,4,4,2,4,4,2
20400855,20141805,5,"[{type:3,param:20141805,value:-1}]",6,4,4,4,4,4,4
20400856,20141805,6,"[{type:3,param:20141805,value:-1}]",8,6,4,4,4,6,4
20400857,20141805,7,"[{type:3,param:20141805,value:-1}]",10,6,6,4,6,6,4
20400858,20141805,8,"[{type:3,param:20141805,value:-1}]",10,8,6,6,6,8,4
20400859,20141805,9,"[{type:3,param:20141805,value:-1}]",10,8,8,6,6,8,6
20400860,20141805,10,"[{type:3,param:20141805,value:-1}]",12,8,8,8,8,8,8
20400861,20133602,1,"[{type:3,param:20133602,value:-1}]",2,2,0,0,0,2,0
20400862,20133602,2,"[{type:3,param:20133602,value:-1}]",4,2,2,0,2,2,0
20400863,20133602,3,"[{type:3,param:20133602,value:-1}]",4,4,2,2,2,4,0
20400864,20133602,4,"[{type:3,param:20133602,value:-1}]",4,4,4,2,4,4,2
20400865,20133602,5,"[{type:3,param:20133602,value:-1}]",6,4,4,4,4,4,4
20400866,20133602,6,"[{type:3,param:20133602,value:-1}]",8,6,4,4,4,6,4
20400867,20133602,7,"[{type:3,param:20133602,value:-1}]",10,6,6,4,6,6,4
20400868,20133602,8,"[{type:3,param:20133602,value:-1}]",10,8,6,6,6,8,4
20400869,20133602,9,"[{type:3,param:20133602,value:-1}]",10,8,8,6,6,8,6
20400870,20133602,10,"[{type:3,param:20133602,value:-1}]",12,8,8,8,8,8,8
20400871,20123601,1,"[{type:3,param:20123601,value:-1}]",2,2,0,0,0,2,0
20400872,20123601,2,"[{type:3,param:20123601,value:-1}]",4,2,2,0,2,2,0
20400873,20123601,3,"[{type:3,param:20123601,value:-1}]",4,4,2,2,2,4,0
20400874,20123601,4,"[{type:3,param:20123601,value:-1}]",4,4,4,2,4,4,2
20400875,20123601,5,"[{type:3,param:20123601,value:-1}]",6,4,4,4,4,4,4
20400876,20123601,6,"[{type:3,param:20123601,value:-1}]",8,6,4,4,4,6,4
20400877,20123601,7,"[{type:3,param:20123601,value:-1}]",10,6,6,4,6,6,4
20400878,20123601,8,"[{type:3,param:20123601,value:-1}]",10,8,6,6,6,8,4
20400879,20123601,9,"[{type:3,param:20123601,value:-1}]",10,8,8,6,6,8,6
20400880,20123601,10,"[{type:3,param:20123601,value:-1}]",12,8,8,8,8,8,8
20400881,20112104,1,"[{type:3,param:20112104,value:-1}]",2,2,0,0,0,2,0
20400882,20112104,2,"[{type:3,param:20112104,value:-1}]",4,2,2,0,2,2,0
20400883,20112104,3,"[{type:3,param:20112104,value:-1}]",4,4,2,2,2,4,0
20400884,20112104,4,"[{type:3,param:20112104,value:-1}]",4,4,4,2,4,4,2
20400885,20112104,5,"[{type:3,param:20112104,value:-1}]",6,4,4,4,4,4,4
20400886,20112104,6,"[{type:3,param:20112104,value:-1}]",8,6,4,4,4,6,4
20400887,20112104,7,"[{type:3,param:20112104,value:-1}]",10,6,6,4,6,6,4
20400888,20112104,8,"[{type:3,param:20112104,value:-1}]",10,8,6,6,6,8,4
20400889,20112104,9,"[{type:3,param:20112104,value:-1}]",10,8,8,6,6,8,6
20400890,20112104,10,"[{type:3,param:20112104,value:-1}]",12,8,8,8,8,8,8
20400891,20133603,1,"[{type:3,param:20133603,value:-1}]",2,2,0,0,0,2,0
20400892,20133603,2,"[{type:3,param:20133603,value:-1}]",4,2,2,0,2,2,0
20400893,20133603,3,"[{type:3,param:20133603,value:-1}]",4,4,2,2,2,4,0
20400894,20133603,4,"[{type:3,param:20133603,value:-1}]",4,4,4,2,4,4,2
20400895,20133603,5,"[{type:3,param:20133603,value:-1}]",6,4,4,4,4,4,4
20400896,20133603,6,"[{type:3,param:20133603,value:-1}]",8,6,4,4,4,6,4
20400897,20133603,7,"[{type:3,param:20133603,value:-1}]",10,6,6,4,6,6,4
20400898,20133603,8,"[{type:3,param:20133603,value:-1}]",10,8,6,6,6,8,4
20400899,20133603,9,"[{type:3,param:20133603,value:-1}]",10,8,8,6,6,8,6
20400900,20133603,10,"[{type:3,param:20133603,value:-1}]",12,8,8,8,8,8,8
20400901,20123602,1,"[{type:3,param:20123602,value:-1}]",2,2,0,0,0,2,0
20400902,20123602,2,"[{type:3,param:20123602,value:-1}]",4,2,2,0,2,2,0
20400903,20123602,3,"[{type:3,param:20123602,value:-1}]",4,4,2,2,2,4,0
20400904,20123602,4,"[{type:3,param:20123602,value:-1}]",4,4,4,2,4,4,2
20400905,20123602,5,"[{type:3,param:20123602,value:-1}]",6,4,4,4,4,4,4
20400906,20123602,6,"[{type:3,param:20123602,value:-1}]",8,6,4,4,4,6,4
20400907,20123602,7,"[{type:3,param:20123602,value:-1}]",10,6,6,4,6,6,4
20400908,20123602,8,"[{type:3,param:20123602,value:-1}]",10,8,6,6,6,8,4
20400909,20123602,9,"[{type:3,param:20123602,value:-1}]",10,8,8,6,6,8,6
20400910,20123602,10,"[{type:3,param:20123602,value:-1}]",12,8,8,8,8,8,8
20400911,20143801,1,"[{type:3,param:20143801,value:-1}]",2,2,0,0,0,2,0
20400912,20143801,2,"[{type:3,param:20143801,value:-1}]",4,2,2,0,2,2,0
20400913,20143801,3,"[{type:3,param:20143801,value:-1}]",4,4,2,2,2,4,0
20400914,20143801,4,"[{type:3,param:20143801,value:-1}]",4,4,4,2,4,4,2
20400915,20143801,5,"[{type:3,param:20143801,value:-1}]",6,4,4,4,4,4,4
20400916,20143801,6,"[{type:3,param:20143801,value:-1}]",8,6,4,4,4,6,4
20400917,20143801,7,"[{type:3,param:20143801,value:-1}]",10,6,6,4,6,6,4
20400918,20143801,8,"[{type:3,param:20143801,value:-1}]",10,8,6,6,6,8,4
20400919,20143801,9,"[{type:3,param:20143801,value:-1}]",10,8,8,6,6,8,6
20400920,20143801,10,"[{type:3,param:20143801,value:-1}]",12,8,8,8,8,8,8
20400921,20112105,1,"[{type:3,param:20112105,value:-1}]",2,2,0,0,0,2,0
20400922,20112105,2,"[{type:3,param:20112105,value:-1}]",4,2,2,0,2,2,0
20400923,20112105,3,"[{type:3,param:20112105,value:-1}]",4,4,2,2,2,4,0
20400924,20112105,4,"[{type:3,param:20112105,value:-1}]",4,4,4,2,4,4,2
20400925,20112105,5,"[{type:3,param:20112105,value:-1}]",6,4,4,4,4,4,4
20400926,20112105,6,"[{type:3,param:20112105,value:-1}]",8,6,4,4,4,6,4
20400927,20112105,7,"[{type:3,param:20112105,value:-1}]",10,6,6,4,6,6,4
20400928,20112105,8,"[{type:3,param:20112105,value:-1}]",10,8,6,6,6,8,4
20400929,20112105,9,"[{type:3,param:20112105,value:-1}]",10,8,8,6,6,8,6
